Category,,Topic,,VideoId,Video,Popularity,AI Quotient,Description
Logistic Regression,,Sigmoid Function,,NOwUClQ7v3c,https://www.youtube.com/watch?v=NOwUClQ7v3c,High,Medium,A sigmoid function can convert any real value sample to a probability range of 0 to 1 this property of sigmoid help's to utilize it logistic regression problems.
Logistic Regression,,Cross Entropy,,HIQlmHxI6-0,https://www.youtube.com/watch?v=HIQlmHxI6-0,High,Medium,Cross Entropy is the cost function used in Logistic Regression model.
Logistic Regression,,Maximum Likelihood Estimation,,BfKanl1aSG0,https://www.youtube.com/watch?v=BfKanl1aSG0,Low,High,This video explains how the coefficients are obtained in a Logistic Regression model.
Decision Tree,,Decision Tree Overview,,LDRbO9a6XPU,https://www.youtube.com/watch?v=LDRbO9a6XPU,Medium,Low,"Decision Tree classifiers are intuitive, interpretable, and algorithms. I?ll introduce concepts including Decision Tree Learning, Gini Impurity, and Information Gain."
Decision Tree,,Bias-Variance Trade-off,,lpkSGTT8uMg,https://www.youtube.com/watch?v=lpkSGTT8uMg,High,Low,#BiasVarianceTradeOff #Overfitting #UnderFitting #MachineLearning #DataAnalytics #DataScience Bias Variance Trade off is an important concept when it comes to choosing a machine learning algorithm for you problem. Bias is the expectation in error and variance is the variability in the model.
Decision Tree,,Gini Index,,BwSB__Ugo1s,https://www.youtube.com/watch?v=BwSB__Ugo1s,Medium,Low,This video explains the concept of Gini Coefficient using simple illustrations for Decision Trees.
Decision Tree,,Entropy,,9r7FIXEAGvs,https://www.youtube.com/watch?v=9r7FIXEAGvs,Medium,Medium,This video explains the importance of entropy and information gain while building a Decision Tree
Decision Tree,,Hyperparameter tuning,,jkJ4dbbpVCQ,https://www.youtube.com/watch?v=jkJ4dbbpVCQ,High,Low,This video explains the hyperparameters that can be tuned for building a decision tree
Random Forest,,Bagging,,2Mg8QD0F1dQ,https://www.youtube.com/watch?v=2Mg8QD0F1dQ,Medium,Low,This video explains the concept of bagging used to build a Random Forest
Random Forest,,Random Forest Overview,,D_2LkhMJcfY,https://www.youtube.com/watch?v=D_2LkhMJcfY,Medium,Low,Want to learn why Random Forests are one of the most popular and most powerful supervised Machine Learning algorithm in Machine Learning?
Random Forest,,Gridsearch,,wKkcBPp3F1Y,https://www.youtube.com/watch?v=wKkcBPp3F1Y,Medium,Low,This video explains how Gridsearch can be performed on Random Forest
Random Forest,,Central Limit Theorem,,JNm3M9cqWyc,https://www.youtube.com/watch?v=JNm3M9cqWyc,High,Low,Introduction to the central limit theorem and the sampling distribution of the mean
KNN,,K-Neighbors Overview,,UqYde-LULfs,https://www.youtube.com/watch?v=UqYde-LULfs,Medium,Low,"In this video I describe how the k Nearest Neighbors algorithm works, and provide a simple example using 2-dimensional data and k = 3."
KNN,,Euclidean Distance,,Dd16LVt5ct4,https://www.youtube.com/watch?v=Dd16LVt5ct4,Medium,Low,"In this tutorial, we continue our introduction to similarity and dissimilarity by discussing euclidean distance and cosine similarity. We will show you how to calculate the euclidean distance and construct a distance matrix"
KNN,,Manhattan Distance,,7a1lj4RBfvU,https://www.youtube.com/watch?v=7a1lj4RBfvU,Low,Low,"Machine Learning Technical Interview: Manhattan and Euclidean Distance, l1 l2 norm"
KNN,,Minkowski Distance,,soThEALam8k,https://www.youtube.com/watch?v=soThEALam8k,Low,Medium,"Euclidean/Minkowski Metric, Spacelike, Timelike, Lightlike"
KNN,,Mahalanobis Distance,,3IdvoI8O9hU,https://www.youtube.com/watch?v=3IdvoI8O9hU,Low,High,What is Mahalanobis Distance? Where it is used in linear discriminant analysis? Issues with Euclidian distance
PCA,,PCA Overview,,Ga-f5STuiHM,https://www.youtube.com/watch?v=Ga-f5STuiHM,High,Medium,"In this video, Prof.Albert explains the importance of PCA to Granny with the help of a 'Pizza' example."
PCA,,Curse of Dimensionality,,QZ0DtNFdDko,https://www.youtube.com/watch?v=QZ0DtNFdDko,High,Medium,This video explains the problems faced by algorithms when faced with a lot of features
PCA,,Importance of Variance,,ILsq7leDqb0,https://www.youtube.com/watch?v=ILsq7leDqb0&t=9s,Medium,Low,Prof.Albert explains the importance of choosing attributes that explain the maximum variance in a dataset
PCA,,Visual Analysis of PCA,,mE3U8TsZ4bQ,https://www.youtube.com/watch?v=mE3U8TsZ4bQ,Medium,Medium,Prof.Albert visually explains to Granny how PCA comes up with the new attributes.
PCA,,Linear Systems,,KknxzWWhQcc,https://www.youtube.com/watch?v=KknxzWWhQcc,Low,High,"Prof.Albert explains to Granny the motivation for performing PCA - ""Linear Systems"""
Clustering,,K-Means Overview,,4b5d3muPQmA,https://www.youtube.com/watch?v=4b5d3muPQmA,High,Low,This video explains the K-means clustering technique in detail using Euclidean distance
Clustering,,K-Median,,l6EPqAK5ZMk,https://www.youtube.com/watch?v=l6EPqAK5ZMk,Medium,Low,This video explains the K-median clustering technique and explains how it is better than K-mean clustering.
Clustering,,Hierarchical Clustering,,7xHsRkOdVwo,https://www.youtube.com/watch?v=7xHsRkOdVwo,Medium,Medium,"Hierarchical clustering is often used with heatmaps and with machine learning type stuff. It's no big deal, though, and based on just a few simple concepts"
Clustering,,Fuzzy C-Means,,Ed7DFO51U4U,https://www.youtube.com/watch?v=Ed7DFO51U4U,Medium,High,This algorithm works by assigning membership to each data point corresponding to each cluster centre based on the distance between the cluster centre and the data point. More the data is near to the cluster centre more is its membership towards the particular cluster centre.
Clustering,,DB Scan,,sJQHz97sCZ0,https://www.youtube.com/watch?v=sJQHz97sCZ0,Low,High,This video talks about Density-based clustering
Model Evaluation,,ROC Curves,,4jRBRDbJemM,https://www.youtube.com/watch?v=4jRBRDbJemM,High,Medium,"ROC (Receiver Operator Characteristic) graphs and AUC (the area under the curve), are useful for consolidating the information from a ton of confusion matrices into a single, easy to interpret graph."
Model Evaluation,,F1 Score,,AMcUCjxNaHY,https://www.youtube.com/watch?v=AMcUCjxNaHY,High,Low,This video talks about calculating F1-score using Precision and Recall
Model Evaluation,,Cross Validation,,fSytzGwwBVw,https://www.youtube.com/watch?v=fSytzGwwBVw,High,Medium,One of the fundamental concepts in machine learning is Cross Validation. It's how we decide which machine learning method would be best for our dataset.
Model Evaluation,,K-fold Cross Validation,,TIgfjmp-4BA,https://www.youtube.com/watch?v=TIgfjmp-4BA,High,Low,This video explains how K-fold Cross Validation can be used to optimize a model.
Model Evaluation,,Grid Search,,B_BNjpIrwoM,https://www.youtube.com/watch?v=B_BNjpIrwoM,Medium,Medium,In this episode we will talk about the grid search and its benefits in choosing the best parameters of the model.
Neural Networks,,Neural Network Introduction,,aircAruvnKk,https://www.youtube.com/watch?v=aircAruvnKk,High,Low,This video explains the basic concept of a Neural Network
Neural Networks,,Gradient Descent in Neural Networks,,IHZwWFHWa-w,https://www.youtube.com/watch?v=IHZwWFHWa-w,Medium,Medium,This video explains how Neural Networks learn using Gradient Descent
Neural Networks,,Backpropagation,,Ilg3gGewQ5U,https://www.youtube.com/watch?v=Ilg3gGewQ5U,High,Medium,This video explains how Backpropagation works in a Neural Network
Neural Networks,,Backpropagation Calculus,,tIeHLnjs5U8,https://www.youtube.com/watch?v=tIeHLnjs5U8,Low,High,This video explains the calculus behind Backpropagation in a Neural Network
Distributions,,Histograms,,qBigTkBLU6g,https://www.youtube.com/watch?v=qBigTkBLU6g,Medium,Medium,Histograms are one of the most basic statistical tools that we have. They are also one of the most powerful and most frequently used.
Distributions,,Statistical Distribution,,oI3hZJqXJuc,https://www.youtube.com/watch?v=oI3hZJqXJuc,Low,Low,Here we demystify what a statistical distribution is
Distributions,,Normal Distribution,,rzFX5NWojp0,https://www.youtube.com/watch?v=rzFX5NWojp0,High,Low,"The normal, or Gaussian, distribution is the most common distribution in all of statistics. Here I explain the basics of how these distributions are created and how they should be interpreted."
Distributions,,Binomial Distribution,,J8jNoF-K8E8,https://www.youtube.com/watch?v=J8jNoF-K8E8,Medium,Medium,"The binomial distribution and the related statistical test look really complicated, but a actually quite simple."
Naive Bayes,,Bayes Theorem,,kqSzLo9fenk,https://www.youtube.com/watch?v=kqSzLo9fenk,High,High,"A friendly introduction to Bayes Theorem and Hidden Markov Models, with simple examples. No background knowledge needed, except basic probability."
Naive Bayes,,Naive Bayes Classifier,,Q8l0Vip5YUw,https://www.youtube.com/watch?v=Q8l0Vip5YUw,Medium,Medium,"A visual description of Bayes' Theorem and the Naive Bayes algorithm, and an application to spam detection. No previous knowledge is needed, aside from knowing how to multiply and divide, a visual mind and a desire to learn."
Naive Bayes,,Naive Bayes Text Classifier,,Zt83JnjD8zg,https://www.youtube.com/watch?v=Zt83JnjD8zg,High,Medium,This video explains the concept of classification of text from a set of documents using a Naive Bayes Classifier approach.
SVM,,SVM Overview,,efR1C6CvhmE,https://www.youtube.com/watch?v=efR1C6CvhmE,Medium,High,This video gives a detailed overview of the SVM algorithm
SVM,,Kernel Trick,,vMmG_7JcfIc,https://www.youtube.com/watch?v=vMmG_7JcfIc,Medium,High,This video explains the famous Kernel trick used by SVM algorithm
SVM,,Lagrange Multipliers,,yuqB-d5MjZA,https://www.youtube.com/watch?v=yuqB-d5MjZA,Low,High,The Lagrange multiplier technique is how we take advantage of the fact that the solution to a constrained optimization problem occurs when the contour lines of the function being maximized are tangent to the constraint curve.
Recommendation Engine,,Recommendation Engine overview,,1JRrCEgiyHM,https://www.youtube.com/watch?v=1JRrCEgiyHM,High,Low,Different types of recommendation systems along with the most commonly used measures
Recommendation Engine,,Collaborative filtering,,h9gpufJFF-0,https://www.youtube.com/watch?v=h9gpufJFF-0,High,Medium,Explains the collaborative filtering technique used by Recommendation Engines
Recommendation Engine,,Matrix Factorization,,ZspR5PZemcs,https://www.youtube.com/watch?v=ZspR5PZemcs,High,High,A friendly introduction to recommender systems with matrix factorization and how it's used to recommend movies in Netflix.
